,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,75,AU,1603497192,54,-42.88,147.33,60.01,9.17
1,anadyr,75,RU,1603497356,100,64.75,177.48,23.0,4.47
2,bluff,95,NZ,1603497356,51,-46.6,168.33,71.01,15.01
3,tiznit,62,MA,1603497356,69,29.58,-9.5,62.1,0.87
4,cape town,2,CL,1603497356,44,-36.41,-71.9,60.8,11.41
5,punta arenas,93,PH,1603497357,80,8.99,125.34,81.14,5.95
6,carnarvon,0,AU,1603497357,78,-24.87,113.63,71.6,18.34
7,castro,40,BR,1603497357,96,-24.79,-50.01,62.37,8.81
8,karratha,0,AU,1603497357,51,-20.74,116.85,73.74,10.71
9,sola,88,VU,1603497357,82,-13.88,167.55,79.2,18.37
10,mahebourg,20,MU,1603497357,69,-20.41,57.7,73.4,8.05
11,vaini,75,TO,1603497357,74,-21.2,-175.2,78.8,10.29
12,dikson,100,RU,1603497358,93,73.51,80.55,23.59,14.38
13,beringovskiy,100,RU,1603497358,91,63.05,179.32,33.64,22.32
14,arraial do cabo,75,BR,1603497358,69,-22.84,-46.65,84.2,6.93
15,puerto ayora,20,ES,1603497358,93,36.59,-6.23,59.0,3.36
16,atuona,26,PF,1603497358,74,-9.8,-139.03,78.42,19.08
17,dubbo,90,AU,1603497346,83,-32.25,148.62,69.8,16.11
18,nikolskoye,40,RU,1603497358,73,59.7,30.79,37.4,8.95
19,gornopravdinsk,10,RU,1603497359,97,60.05,69.9,16.61,4.09
20,busselton,0,AU,1603497359,69,-33.65,115.33,57.0,8.99
21,yatou,0,CN,1603497359,52,37.15,122.38,51.24,6.11
22,east london,75,IS,1603497359,81,65.0,-15.0,42.8,11.41
23,porto novo,20,PT,1603497124,93,41.15,-8.61,55.0,6.93
24,butaritari,77,KI,1603497360,74,3.07,172.79,81.86,12.95
25,guanica,7,PR,1603497360,78,17.97,-66.91,82.99,3.0
26,saskylakh,100,RU,1603497360,97,71.92,114.08,17.33,3.76
27,albany,52,US,1603497138,77,42.6,-73.97,66.99,1.01
28,ushuaia,75,AR,1603497360,70,-54.8,-68.3,42.8,11.41
29,qaanaaq,91,GL,1603497360,92,77.48,-69.36,18.84,7.07
30,leningradskiy,0,RU,1603497361,91,69.38,178.42,23.4,3.33
31,bathsheba,20,BB,1603497361,70,13.22,-59.52,84.2,24.16
32,rikitea,74,PF,1603497361,81,-23.12,-134.97,74.01,13.85
33,bredasdorp,30,ZA,1603497361,93,-34.53,20.04,66.2,1.45
34,lida,68,BY,1603497361,93,53.88,25.3,47.37,2.84
35,portland,90,US,1603496918,62,45.52,-122.68,55.0,10.29
36,sulangan,100,PH,1603497362,80,11.14,123.72,81.14,11.21
37,barrow,90,US,1603497362,100,71.29,-156.79,28.4,9.17
38,danielskuil,33,ZA,1603497362,43,-28.19,23.54,64.51,5.57
39,san patricio,15,ML,1603497362,24,13.3,-4.9,83.07,6.76
40,hilo,1,US,1603497362,55,19.73,-155.09,87.8,12.75
41,sao filipe,65,IN,1603497362,72,20.51,76.21,72.09,1.52
42,olhao,20,PT,1603497363,72,37.03,-7.84,59.0,8.28
43,victoria,100,HK,1603497363,47,22.29,114.16,73.99,1.01
44,mataura,56,NZ,1603497363,51,-46.19,168.86,71.01,15.01
45,thompson,75,CA,1603497363,58,55.74,-97.86,24.8,8.05
46,chokurdakh,98,RU,1603497363,91,70.63,147.92,9.75,7.0
47,port alfred,62,CD,1603497364,61,-7.03,29.76,76.98,4.29
48,katihar,42,IN,1603497364,92,25.53,87.58,72.79,6.15
49,singaparna,90,ID,1603497364,83,-7.35,108.11,75.18,1.19
50,oranjemund,2,NA,1603497364,85,-28.55,16.43,58.39,3.15
51,saint-pierre,75,RE,1603497364,68,-21.34,55.48,69.8,5.82
52,chuy,94,UY,1603497365,97,-33.7,-53.46,62.11,5.68
53,hualmay,90,PE,1603497365,81,-11.1,-77.61,62.65,3.8
54,tver,54,RU,1603497365,83,56.86,35.89,48.24,12.59
55,hokitika,0,NZ,1603497318,59,-42.72,170.97,60.13,3.85
56,gorodishche,0,RU,1603497365,87,48.8,44.47,55.4,13.42
57,bur gabo,94,DK,1603497366,93,56.37,8.43,51.01,1.01
58,umba,100,RU,1603497366,97,66.69,34.34,30.6,11.03
59,clyde river,50,US,1603497366,90,41.3,-82.98,64.0,12.44
60,hermanus,35,ZA,1603497366,92,-34.42,19.23,63.0,1.99
61,avarua,86,CK,1603497366,69,-21.21,-159.78,77.0,16.11
62,puerto colombia,20,ES,1603497358,93,36.59,-6.23,59.0,3.36
63,sabang,100,ID,1603497367,72,5.89,95.32,82.85,8.14
64,guerrero negro,98,MX,1603497367,80,17.67,-100.0,71.11,1.3
65,tortoli,75,IT,1603497367,94,39.93,9.66,68.0,5.82
66,canapi,7,BR,1603497367,76,-9.12,-37.6,73.35,10.83
67,shingu,40,JP,1603497368,77,33.73,135.98,59.0,6.93
68,massaguet,97,TD,1603497368,69,12.48,15.44,73.4,3.36
69,gedo,13,ET,1603497368,79,9.02,37.45,48.36,2.15
70,kagoro,100,NG,1603497368,75,9.6,8.38,68.49,1.32
71,lasa,90,IT,1603497368,100,46.62,10.7,52.0,3.36
72,peno,71,RU,1603497368,85,56.93,32.74,46.33,9.37
73,cabo san lucas,75,BR,1603497369,78,-8.28,-35.03,80.6,11.41
74,georgiyevka,0,KZ,1603497369,86,43.04,74.71,41.0,4.47
75,neryungri,0,RU,1603497369,92,56.67,124.65,16.47,2.53
76,torbay,40,CA,1603497369,86,47.67,-52.73,39.99,3.78
77,maceio,40,BR,1603497369,94,-9.67,-35.74,75.2,4.7
78,tasiilaq,100,GL,1603497369,59,65.61,-37.64,33.8,12.75
79,georgetown,20,MY,1603497239,94,5.41,100.34,78.8,4.45
80,tuktoyaktuk,90,CA,1603497370,92,69.45,-133.04,24.8,8.05
81,galesong,20,ID,1603497370,83,-5.32,119.37,78.8,1.12
82,palmer,90,US,1603497370,82,42.16,-72.33,64.4,4.7
83,faanui,32,PF,1603497370,72,-16.48,-151.75,79.07,8.61
84,upington,85,ZA,1603497370,26,-28.45,21.26,75.2,5.82
85,bambous virieux,20,MU,1603497371,69,-20.26,57.41,73.4,8.05
86,hovd,100,MN,1603497186,67,48.01,91.64,36.93,4.85
87,salina cruz,90,US,1603497371,56,38.84,-97.61,41.0,18.34
88,mantua,87,IT,1603497371,96,45.17,10.78,57.0,1.01
89,takoradi,24,GH,1603497371,90,4.88,-1.76,77.16,5.93
90,shahrud,0,IR,1603497371,58,36.42,54.98,48.4,4.29
91,mount gambier,63,GB,1603497371,89,53.66,-1.85,44.01,5.01
92,nome,90,US,1603497372,86,64.5,-165.41,33.8,13.87
93,puerto palomas,20,ES,1603497358,93,36.59,-6.23,59.0,3.36
94,atar,97,MR,1603497372,25,20.52,-13.05,86.45,10.2
